,Album,Artist,ReleaseDate,Duration,AlbumURL
195,Best of Bowie,David Bowie,"October 22, 2002",01:17:57,https://www.allmusic.com/album/best-of-bowie-mw0000694821
196,WOW Hits 2002,Various,"October 23, 2001",02:12:22,https://www.allmusic.com/album/wow-hits-2002-mw0000011370
197,Vrooom Vrooom,King Crimson,"November 13, 2001",02:08:23,https://www.allmusic.com/album/vrooom-vrooom-mw0000017184
198,The Dirty Story: The Best of Ol' Dirty Bastard,Ol' Dirty Bastard,"August 28, 2001",42:51,https://www.allmusic.com/album/the-dirty-story-the-best-of-ol-dirty-bastard-mw0000012447
199,"The Child in Me, Vol. 2",Jamie deRoy,"May 29, 2001",51:44,https://www.allmusic.com/album/the-child-in-me-vol-2-mw0000011436
200,Strange Little Girls,Tori Amos,"September 18, 2001",01:02:03,https://www.allmusic.com/album/strange-little-girls-mw0000011921
201,Stereotype Be,Kevin Max,2001,01:00:59,https://www.allmusic.com/album/stereotype-be-mw0000588668
202,Solo,dc Talk,"April 24, 2001",26:46,https://www.allmusic.com/album/solo-mw0000002966
203,"ProjeKct Two: Live in Northampton, MA July 1, 1998",ProjeKct Two,"June, 2001",01:01:14,https://www.allmusic.com/album/projekct-two-live-in-northampton-ma-july-1-1998-mw0001026674
204,Music,Erick Sermon,"September 25, 2001",47:15,https://www.allmusic.com/album/music-mw0000013947
205,"Live in Berkeley, CA 1982",King Crimson,"April, 2001",01:21:31,https://www.allmusic.com/album/live-in-berkeley-ca-1982-mw0000971263
206,Live Frogs: Set 1,Les Claypool,"April 10, 2001",01:06:30,https://www.allmusic.com/album/live-frogs-set-1-mw0000000149
207,Level Five,King Crimson,"November 9, 2001",45:48,https://www.allmusic.com/album/level-five-mw0000376123
208,Jar of Gems,Jars of Clay,"September 25, 2001",01:13:33,https://www.allmusic.com/album/jar-of-gems-mw0000521821
209,Greatest Hits,Mariah Carey,"cember 4, 2001",02:03:00,https://www.allmusic.com/album/greatest-hits-mw0000525508
210,Enemies,Frank Jordan,"August 7, 2001",37:36,https://www.allmusic.com/album/enemies-mw0000590815
211,Critical Bandwidth [Nu Tone],Various,"July 10, 2001",01:08:01,https://www.allmusic.com/album/critical-bandwidth-nu-tone-mw0000589742
212,"Collectors' King Crimson, Vol. 4",King Crimson,"August 28, 2001",03:08:40,https://www.allmusic.com/album/collectors-king-crimson-vol-4-mw0001208905
213,Classic Rock Hits [Dead Line],Various,"August 21, 2001",03:56:16,https://www.allmusic.com/album/classic-rock-hits-dead-line-mw0001958638
214,Car Caught Fire,The Bears,2001,50:26,https://www.allmusic.com/album/car-caught-fire-mw0000303760
215,Blood Sweat and Years,JT Money,"April 3, 2001",51:41,https://www.allmusic.com/album/blood-sweat-and-years-mw0000002041
216,(All Tie Zer),Rick Altizer,2001,46:10,https://www.allmusic.com/album/all-tie-zer-mw0000658137
217,World of Bright Futures,Tim Bowness,"July 11, 2000",58:37,https://www.allmusic.com/album/world-of-bright-futures-mw0000614620
218,WOW Gold,Various,"June 20, 2000",02:11:52,https://www.allmusic.com/album/wow-gold-mw0000608638
219,The Family Man,Various,"cember 5, 2000",52:40,https://www.allmusic.com/album/the-family-man-mw0000110697
220,The ConstruKction of Light,King Crimson,"May 23, 2000",01:23:55,https://www.allmusic.com/album/the-construkction-of-light-mw0000066513
221,Talk Normal: The Laurie Anderson Anthology,Laurie Anderson,"October 17, 2000",02:32:54,https://www.allmusic.com/album/talk-normal-the-laurie-anderson-anthology-mw0000101565
222,Rumours: The String Quartet Tribute to Fleetwood Mac,Vitamin String Quartet,"March 7, 2000",38:16,https://www.allmusic.com/album/rumours-the-string-quartet-tribute-to-fleetwood-mac-mw0000055512
223,Outbound,Béla Fleck & the Flecktones,"July 25, 2000",59:54,https://www.allmusic.com/album/outbound-mw0000609323
224,"Nashville Rehearsals, 1997",King Crimson,"November, 2000",01:07:24,https://www.allmusic.com/album/nashville-rehearsals-1997-mw0001196729
225,Monday Night in San Francisco,California Guitar Trio,2000,01:42:04,https://www.allmusic.com/album/monday-night-in-san-francisco-mw0001216480
226,Mariah Carey Story,Mariah Carey,"March 14, 2000",20:44,https://www.allmusic.com/album/mariah-carey-story-mw0000331275
227,Love Compartment,R. Stevie Moore,"June, 2000",01:12:35,https://www.allmusic.com/album/love-compartment-mw0000990844
228,Japanese Sandman,Freddy Gardner,"November 28, 2000",?,https://www.allmusic.com/album/japanese-sandman-mw0001154302
229,"Images of Africa, Vol. 3",Various,"August 29, 2000",47:49,https://www.allmusic.com/album/images-of-africa-vol-3-mw0000011203
230,Hot Hits: 90's Chartbusters,The Countdown Singers,"April 25, 2000",50:36,https://www.allmusic.com/album/hot-hits-90s-chartbusters-mw0000063814
231,Heavy ConstruKction,King Crimson,"November 7, 2000",02:18:04,https://www.allmusic.com/album/heavy-construkction-mw0000107390
232,Greatest Hits: Shining Like a National Guitar,Paul Simon,"May 23, 2000",01:16:56,https://www.allmusic.com/album/greatest-hits-shining-like-a-national-guitar-mw0000456095
233,"Discipline: Live at Moles Club, Bath 1981",Discipline,"June, 2000",53:46,https://www.allmusic.com/album/discipline-live-at-moles-club-bath-1981-mw0001192279
234,Dans La Lune,Nicola Sirkis,"May 15, 2000",44:54,https://www.allmusic.com/album/dans-la-lune-mw0001067558
235,Coming Attractions,Adrian Belew,2000,49:44,https://www.allmusic.com/album/coming-attractions-mw0000604570
236,"Collectors' King Crimson, Vol. 3",King Crimson,"August 8, 2000",03:15:12,https://www.allmusic.com/album/collectors-king-crimson-vol-3-mw0000371629
237,"Collectors' King Crimson, Vol. 2 [Pony Canyon]",King Crimson,"January 25, 2000",02:41:47,https://www.allmusic.com/album/collectors-king-crimson-vol-2-pony-canyon-mw0000368153
238,A Tribute to Mariah Carey,Various,"November 14, 2000",54:18,https://www.allmusic.com/album/a-tribute-to-mariah-carey-mw0000104022
239,A Beginners' Guide to the King Crimson Collectors' Club,King Crimson,2000,59:07,https://www.allmusic.com/album/a-beginners-guide-to-the-king-crimson-collectors-club-mw0001218574
240,A Beginner's Guide to Projekcts,King Crimson,"August 8, 2000",01:12:27,https://www.allmusic.com/album/a-beginners-guide-to-projekcts-mw0001890864
241,20th Century Masters: The Millennium Collection: Best of Joan Armatrading,Joan Armatrading,"August 29, 2000",48:19,https://www.allmusic.com/album/20th-century-masters-the-millennium-collection-best-of-joan-armatrading-mw0000092601
242,When Pigs Fly,The Irresponsibles,1999,40:05,https://www.allmusic.com/album/when-pigs-fly-mw0001118246
243,West Coast Live,ProjeKct Four,"July 15, 1999",?,https://www.allmusic.com/album/west-coast-live-mw0000771387
244,WOW The 90's: 30 Top Christian Songs of the Decade,Various,"July 20, 1999",02:18:54,https://www.allmusic.com/album/wow-the-90s-30-top-christian-songs-of-the-decade-mw0000243261
245,"The VROOOM Sessions, 1994",King Crimson,"October, 1999",51:19,https://www.allmusic.com/album/the-vrooom-sessions-1994-mw0000970147
246,The ProjeKcts,King Crimson,"October 26, 1999",03:24:54,https://www.allmusic.com/album/the-projekcts-mw0000671140
247,The Fragile,Nine Inch Nails,"September 21, 1999",01:43:40,https://www.allmusic.com/album/the-fragile-mw0000246196
248,The Deception of the Thrush,King Crimson,"October 26, 1999",01:12:29,https://www.allmusic.com/album/the-deception-of-the-thrush-mw0000671352
249,The Anthology,Joe Cocker,"August 17, 1999",02:32:40,https://www.allmusic.com/album/the-anthology-mw0000249074
250,Still I Rise,2Pac / Outlawz,"cember 14, 1999",01:12:45,https://www.allmusic.com/album/still-i-rise-mw0000257800
251,Sony Music 100 Years: Soundtrack for a Century,Various,"October 12, 1999",08:52:01,https://www.allmusic.com/album/sony-music-100-years-soundtrack-for-a-century-mw0000247901
252,Son of Cheap Thrills,Frank Zappa,"April 27, 1999",44:36,https://www.allmusic.com/album/son-of-cheap-thrills-mw0000239573
253,Romantic Dreams,Mariah Carey,1999,01:12:05,https://www.allmusic.com/album/romantic-dreams-mw0001728932
254,R&B: From Doo Wop to Hip Hop,Various,"October 12, 1999",02:32:55,https://www.allmusic.com/album/r-amp-b-from-doo-wop-to-hip-hop-mw0001078496
255,Orchestral Tubular Bells Box,Mike Oldfield,"April 27, 1999",02:05:39,https://www.allmusic.com/album/orchestral-tubular-bells-box-mw0000538113
256,On Broadway: Live In NYC 1995,King Crimson,"June, 1999",01:52:58,https://www.allmusic.com/album/on-broadway-live-in-nyc-1995-mw0000965233
257,Meetings with Remarkable Friends,Artie Traum,"February 23, 1999",52:40,https://www.allmusic.com/album/meetings-with-remarkable-friends-mw0000048122
258,Make Me an Island: Best of Joe Dolan,Joe Dolan,1999,01:15:57,https://www.allmusic.com/album/make-me-an-island-best-of-joe-dolan-mw0000478467
259,Live in San Francisco: The Roar of P4,ProjeKct Four,"August, 1999",01:17:12,https://www.allmusic.com/album/live-in-san-francisco-the-roar-of-p4-mw0001148011
260,"Live at the Fox Theatre, Atlanta 1977",Frank Zappa,1999,02:10:24,https://www.allmusic.com/album/live-at-the-fox-theatre-atlanta-1977-mw0001439650
261,"Live at Cap D'Agde, 1982",King Crimson,"April, 1999",01:00:28,https://www.allmusic.com/album/live-at-cap-dagde-1982-mw0001162893
262,Live In Italy [Magnum #2],Jerry Lee Lewis,"November 23, 1999",01:00:54,https://www.allmusic.com/album/live-in-italy-magnum-2-mw0000204446
263,Live Groove,ProjeKct Two,"January 7, 1999",?,https://www.allmusic.com/album/live-groove-mw0001166268
264,Deja Vrooom,King Crimson,1999,?,https://www.allmusic.com/album/deja-vrooom-mw0000941597
265,Collection: 1981-1987,Ryuichi Sakamoto,"September 28, 1999",07:45:15,https://www.allmusic.com/album/collection-1981-1987-mw0001078074
266,Cirkus: The Young Person's Guide to King Crimson - Live,King Crimson,"April 13, 1999",01:20:30,https://www.allmusic.com/album/cirkus-the-young-persons-guide-to-king-crimson-live-mw0000240685
267,"Chartbuster Karaoke: Mariah Carey, Vol. 1",Various,1999,52:23,https://www.allmusic.com/album/chartbuster-karaoke-mariah-carey-vol-1-mw0001037126
268,Around the World,Mariah Carey,"April 20, 1999",52:29,https://www.allmusic.com/album/around-the-world-mw0000666429
269,21st Century Schizoid Man,King Crimson,"April 13, 1999",?,https://www.allmusic.com/album/21st-century-schizoid-man-mw0000372854
270,#1's [Video],Mariah Carey,"November 23, 1999",?,https://www.allmusic.com/album/1s-video-mw0002408766
271,Two Kinds of Laughter,Sara Hickman,"March 17, 1998",51:20,https://www.allmusic.com/album/two-kinds-of-laughter-mw0000597829
272,The Recipe,Mack 10,"October 6, 1998",01:05:41,https://www.allmusic.com/album/the-recipe-mw0000037459
273,The Professional,DJ Clue?,"cember 8, 1998",01:14:00,https://www.allmusic.com/album/the-professional-mw0000042277
274,Space Groove,ProjeKct Two,"April 7, 1998",01:32:55,https://www.allmusic.com/album/space-groove-mw0000598379
275,"Sometimes God Smiles: The Young Person's Guide to Discipline, Vol. 2",Various,"October 13, 1998",01:12:10,https://www.allmusic.com/album/sometimes-god-smiles-the-young-persons-guide-to-discipline-vol-2-mw0000601311
276,Salad Days,Adrian Belew,1998,50:25,https://www.allmusic.com/album/salad-days-mw0000602446
277,Monty Montgomery Is Demo-Liscious,Monty Montgomery,1998,59:35,https://www.allmusic.com/album/monty-montgomery-is-demo-liscious-mw0000976407
278,"Lefty Loose, Righty Tight",Rob Fetters,1998,42:04,https://www.allmusic.com/album/lefty-loose-righty-tight-mw0000310066
279,Hard Rain [Music from the Motion Picture],Christopher Young,"January 13, 1998",51:21,https://www.allmusic.com/album/hard-rain-music-from-the-motion-picture-mw0000596982
280,Elevator,Curd Duca,"March 16, 1998",46:40,https://www.allmusic.com/album/elevator-mw0000258063
281,Blue Plate Special,Rick Altizer,1998,42:24,https://www.allmusic.com/album/blue-plate-special-mw0000666123
282,"Belew Prints: The Acoustic Adrian Belew, Vol. 2",Adrian Belew,"January 13, 1998",48:05,https://www.allmusic.com/album/belew-prints-the-acoustic-adrian-belew-vol-2-mw0000377749
283,Absent Lovers: Live in Montreal 1984,King Crimson,"June 23, 1998",01:47:01,https://www.allmusic.com/album/absent-lovers-live-in-montreal-1984-mw0000039328
284,#1's,Mariah Carey,"November 17, 1998",01:13:10,https://www.allmusic.com/album/1s-mw0000044055
285,Ventilazione,Ivano Fossati,"April 28, 1997",37:43,https://www.allmusic.com/album/ventilazione-mw0000347958
286,The Sugar Hill Records Story,Various,"February 4, 1997",06:36:45,https://www.allmusic.com/album/the-sugar-hill-records-story-mw0000083414
287,Sometimes God Hides: The Young Person's Guide to Discipline,Various,"March 18, 1997",01:18:49,https://www.allmusic.com/album/sometimes-god-hides-the-young-persons-guide-to-discipline-mw0000023359
288,She's So Unusual/True Colors/Hat Full of Stars,Cyndi Lauper,"August 12, 1997",37:57,https://www.allmusic.com/album/shes-so-unusual-true-colors-hat-full-of-stars-mw0000026724
289,Op Zop Too Wah,Adrian Belew,1997,55:55,https://www.allmusic.com/album/op-zop-too-wah-mw0000079345
290,Historia,Caifanes,"July 1, 1997",01:44:16,https://www.allmusic.com/album/historia-mw0000027560
291,Gunman/Righteous Are the Conqueror,Michael Prophet,"cember 1, 1997",01:15:09,https://www.allmusic.com/album/gunman-righteous-are-the-conqueror-mw0000069486
292,Disturbed,R. Stevie Moore,1997,01:43:08,https://www.allmusic.com/album/disturbed-mw0001894541
293,Alternative Biography,David Bowie,1997,?,https://www.allmusic.com/album/alternative-biography-mw0001039104
294,Twang!: A Tribute to Hank Marvin & the Shadows,Various,"October 29, 1996",45:34,https://www.allmusic.com/album/twang%21-a-tribute-to-hank-marvin-amp-the-shadows-mw0000440966
295,Thrakattak,King Crimson,"June 25, 1996",57:11,https://www.allmusic.com/album/thrakattak-mw0000190113
296,Seltzer,Various,"August 20, 1996",55:28,https://www.allmusic.com/album/seltzer-mw0000071306
297,Rock and Roll Hoochie Koo: The Best of Rick Derringer,Rick Derringer,"September 3, 1996",01:02:51,https://www.allmusic.com/album/rock-and-roll-hoochie-koo-the-best-of-rick-derringer-mw0000074092
298,Live in Japan 1995,King Crimson,"November 26, 1996",?,https://www.allmusic.com/album/live-in-japan-1995-mw0000597172
299,Heavy Breathing: The Crunch High-Energy Workout,Various,1996,01:00:32,https://www.allmusic.com/album/heavy-breathing-the-crunch-high-energy-workout-mw0000081131
300,Fantasy: Mariah Carey at Madison Square Garden,Mariah Carey,"February 13, 1996",46:06,https://www.allmusic.com/album/fantasy-mariah-carey-at-madison-square-garden-mw0000183899
301,Come and Get It: A Tribute to Badfinger,Various,1996,01:17:08,https://www.allmusic.com/album/come-and-get-it-a-tribute-to-badfinger-mw0000956025
302,Black a Da Berry,Alfonzo Hunter,"October 29, 1996",52:08,https://www.allmusic.com/album/black-a-da-berry-mw0000079109
303,Weasel,Gutterball,"April 14, 1995",58:20,https://www.allmusic.com/album/weasel-mw0000171946
304,Walking on Air,King Crimson,"October 17, 1995",?,https://www.allmusic.com/album/walking-on-air-mw0000645970
305,Vowel Movement,Vowel Movement,1995,?,https://www.allmusic.com/album/vowel-movement-mw0000644374
306,Twelve Deadly Cyns...and Then Some,Cyndi Lauper,"July 18, 1995",57:45,https://www.allmusic.com/album/twelve-deadly-cynsand-then-some-mw0000174189
307,"The Guitar as Ochestra: Experimental Guitar Series, Vol. 1",Adrian Belew,"November 14, 1995",50:30,https://www.allmusic.com/album/the-guitar-as-ochestra-experimental-guitar-series-vol-1-mw0000645953
308,THRAK,King Crimson,"April, 1995",48:33,https://www.allmusic.com/album/thrak-mw0000125655
309,Soul of a Man: Live/Rekooperation,Al Kooper,1995,01:53:37,https://www.allmusic.com/album/soul-of-a-man-live-rekooperation-mw0000123190
310,Sex Sleep Eat Drink Dream,King Crimson,1995,?,https://www.allmusic.com/album/sex-sleep-eat-drink-dream-mw0001020576
311,Oxeia,Love Is Colder than Death,"May 16, 1995",38:19,https://www.allmusic.com/album/oxeia-mw0000644924
312,One Sweet Day,Mariah Carey,"November 14, 1995",09:51,https://www.allmusic.com/album/one-sweet-day-mw0000182663
313,Movin' Up/Adventure Time,The Elvis Brothers,"October 3, 1995",01:13:45,https://www.allmusic.com/album/movin-up-adventure-time-mw0000942509
314,Live [Prime Cuts],Jerry Lee Lewis,1995,31:21,https://www.allmusic.com/album/live-prime-cuts-mw0000205689
315,Jars of Clay,Jars of Clay,"October 24, 1995",01:05:32,https://www.allmusic.com/album/jars-of-clay-mw0000176672
316,Illumination,S.F.C.,"February 28, 1995",50:00,https://www.allmusic.com/album/illumination-mw0000125657
317,Gang Affiliated,Gospel Gangstaz,"February 28, 1995",57:37,https://www.allmusic.com/album/gang-affiliated-mw0000122189
318,For the Love of Harry: Everybody Sings Nilsson,Various,"May 9, 1995",01:16:56,https://www.allmusic.com/album/for-the-love-of-harry-everybody-sings-nilsson-mw0000172153
319,Fantasy,Mariah Carey,1995,29:17,https://www.allmusic.com/album/fantasy-mw0000176223
320,Dinosaur,King Crimson,1995,23:27,https://www.allmusic.com/album/dinosaur-mw0000644144
321,Daydream,Mariah Carey,"October 3, 1995",46:36,https://www.allmusic.com/album/daydream-mw0000179794
322,Curb Servin',WC and the Maad Circle,"October 3, 1995",49:50,https://www.allmusic.com/album/curb-servin-mw0000645605
323,B'Boom: Official Bootleg - Live in Argentina,King Crimson,1995,01:51:06,https://www.allmusic.com/album/bboom-official-bootleg-live-in-argentina-mw0000180766
324,Acoustic Adrian Belew,Adrian Belew,1995,29:15,https://www.allmusic.com/album/acoustic-adrian-belew-mw0000535989
325,VROOOM,King Crimson,1994,30:37,https://www.allmusic.com/album/vrooom-mw0000121634
326,The Downward Spiral,Nine Inch Nails,"March 8, 1994",01:05:08,https://www.allmusic.com/album/the-downward-spiral-mw0000110711
327,The Diary,Scarface,"October 18, 1994",43:09,https://www.allmusic.com/album/the-diary-mw0000119182
328,Soundbytes,Ryuichi Sakamoto,1994,55:53,https://www.allmusic.com/album/soundbytes-mw0000112990
329,Simbolos,Santa Sabina,"July 19, 1994",46:04,https://www.allmusic.com/album/simbolos-mw0000601485
330,"Signed Sealed Delivered, Vol. 3",Various,1994,01:05:15,https://www.allmusic.com/album/signed-sealed-delivered-vol-3-mw0001186250
331,Raisins,Raisins,1994,53:16,https://www.allmusic.com/album/raisins-mw0000891962
332,On & On: The Hits of Stephen Bishop,Stephen Bishop,1994,01:05:35,https://www.allmusic.com/album/on-amp-on-the-hits-of-stephen-bishop-mw0000118199
333,Necessary Angels,Sara Hickman,1994,55:48,https://www.allmusic.com/album/necessary-angels-mw0000627431
334,Kindred Way,Kindred Way,1994,31:11,https://www.allmusic.com/album/kindred-way-mw0000124366
335,Here,Adrian Belew,1994,43:11,https://www.allmusic.com/album/here-mw0000111288
336,Gunman,Big Daddy Kane,1994,?,https://www.allmusic.com/album/gunman-mw0000111242
337,Call Mi Sister Carol,Sister Carol,1994,45:39,https://www.allmusic.com/album/call-mi-sister-carol-mw0000626722
338,Bright Red,Laurie Anderson,"October 25, 1994",52:19,https://www.allmusic.com/album/bright-red-mw0000117753
339,Biggest Singles 1977-1982,Forward,1994,37:31,https://www.allmusic.com/album/biggest-singles-1977-1982-mw0000447159
340,The World Is Yours,Scarface,"August 17, 1993",01:09:48,https://www.allmusic.com/album/the-world-is-yours-mw0000103673
341,The Singles: 1969-1993,David Bowie,"November 16, 1993",02:33:23,https://www.allmusic.com/album/the-singles-1969-1993-mw0000526484
342,The Paul Simon Anthology,Paul Simon,1993,02:28:08,https://www.allmusic.com/album/the-paul-simon-anthology-mw0000461438
343,The Concise King Crimson,King Crimson,"October 19, 1993",01:14:17,https://www.allmusic.com/album/the-concise-king-crimson-mw0000104340
344,The Best of Joe Dolan [Castle],Joe Dolan,"September 13, 1993",02:22:01,https://www.allmusic.com/album/the-best-of-joe-dolan-castle-mw0001196088
345,"Shame, Shame, Shame",Smiley Lewis,1993,03:57:24,https://www.allmusic.com/album/shame-shame-shame-mw0000122955
346,Serenades,Anathema,1993,01:15:42,https://www.allmusic.com/album/serenades-mw0000113458
347,Paul Simon 1964/1993,Paul Simon,"September 28, 1993",03:20:54,https://www.allmusic.com/album/paul-simon-1964-1993-mw0001977098
348,Guitar Tribute to the Beatles: Come Together,Various,1993,52:20,https://www.allmusic.com/album/guitar-tribute-to-the-beatles-come-together-mw0000105414
349,Field Work/Steppin' into Asia/The Arrangement,Ryuichi Sakamoto,1993,01:05:33,https://www.allmusic.com/album/field-work-steppin-into-asia-the-arrangement-mw0000768174
350,Elements: Mike Oldfield 1973-1991,Mike Oldfield,"November 16, 1993",05:05:47,https://www.allmusic.com/album/elements-mike-oldfield-1973-1991-mw0000106916
351,Zimbabwe Legit,Zimbabwe Legit,"March 10, 1992",29:43,https://www.allmusic.com/album/zimbabwe-legit-mw0000275778
352,"You Can't Do That on Stage Anymore, Vol. 6",Frank Zappa,"October 23, 1992",02:17:26,https://www.allmusic.com/album/you-cant-do-that-on-stage-anymore-vol-6-mw0000093597
353,"Street Jams: Hip-Hop from the Top, Vol. 2",Various,1992,01:11:02,https://www.allmusic.com/album/street-jams-hip-hop-from-the-top-vol-2-mw0000278689
354,"Library of Sound Effects, Vol. 5",Various,1992,01:14:46,https://www.allmusic.com/album/library-of-sound-effects-vol-5-mw0000080855
355,Inner Revolution,Adrian Belew,"February, 1992",39:38,https://www.allmusic.com/album/inner-revolution-mw0000275260
356,For Lovers and Others: Force M.D.'s Greatest Hits,Force M.D.'s,"February 18, 1992",58:13,https://www.allmusic.com/album/for-lovers-and-others-force-mds-greatest-hits-mw0000277784
357,Everything,Mac Band,"February 14, 1992",?,https://www.allmusic.com/album/everything-mw0000677846
358,El Silencio,Caifanes,"July, 1992",58:10,https://www.allmusic.com/album/el-silencio-mw0000099512
359,The Abbreviated King Crimson,King Crimson,"October 11, 1991",23:01,https://www.allmusic.com/album/the-abbreviated-king-crimson-mw0000270835
360,"Somehow, Someway",Chris Cuevas,1991,?,https://www.allmusic.com/album/somehow-someway-mw0000266812
361,Reaching a Level of Assassination,Funkytown Pros,1991,50:09,https://www.allmusic.com/album/reaching-a-level-of-assassination-mw0000850529
362,H.E.A.L.: Civilization Vs. Technology,HEAL,"September 20, 1991",52:52,https://www.allmusic.com/album/heal-civilization-vs-technology-mw0000263896
363,Guitar Speak 3,Various,1991,40:35,https://www.allmusic.com/album/guitar-speak-3-mw0000675373
364,Frame by Frame: The Essential King Crimson,King Crimson,1991,04:37:20,https://www.allmusic.com/album/frame-by-frame-the-essential-king-crimson-mw0000269041
365,Dice Rules,Andrew Dice Clay,1991,39:12,https://www.allmusic.com/album/dice-rules-mw0000263356
366,Desire of the Rhino King,Adrian Belew,1991,01:11:58,https://www.allmusic.com/album/desire-of-the-rhino-king-mw0000269154
367,Young Lions,Adrian Belew,"May, 1990",37:55,https://www.allmusic.com/album/young-lions-mw0000204700
368,Walk on Water,Jerry Harrison,1990,55:54,https://www.allmusic.com/album/walk-on-water-mw0000204762
369,The Rhythm of the Saints,Paul Simon,"October, 1990",44:34,https://www.allmusic.com/album/the-rhythm-of-the-saints-mw0000202777
370,Pretty Pink Rose,Adrian Belew,1990,12:40,https://www.allmusic.com/album/pretty-pink-rose-mw0000208069
371,Getting the Most out of Your Extinction,Iron Christ,"July 18, 1990",?,https://www.allmusic.com/album/getting-the-most-out-of-your-extinction-mw0000317614
372,Sound + Vision,David Bowie,"September, 1989",04:49:55,https://www.allmusic.com/album/sound-vision-mw0000653974
373,One Glance Is Holy,Mike Oldfield,1989,16:56,https://www.allmusic.com/album/one-glance-is-holy-mw0000878161
374,Mr. Music Head,Adrian Belew,"April, 1989",45:09,https://www.allmusic.com/album/mr-music-head-mw0000199194
375,Moons of Jupiter,Scruffy the Cat,1989,48:39,https://www.allmusic.com/album/moons-of-jupiter-mw0000653004
376,Max Q,Max Q,1989,46:07,https://www.allmusic.com/album/max-q-mw0000202045
377,Larger Than Life,Jody Watley,1989,01:01:59,https://www.allmusic.com/album/larger-than-life-mw0000203768
378,Earth Moving,Mike Oldfield,1989,41:15,https://www.allmusic.com/album/earth-moving-mw0000654041
379,Christmas Guitars,Various,1989,45:57,https://www.allmusic.com/album/christmas-guitars-mw0000078600
380,You Can't Do That on Stage [Sampler],Frank Zappa,1988,?,https://www.allmusic.com/album/you-cant-do-that-on-stage-sampler-mw0000863764
381,"You Can't Do That on Stage Anymore, Vol. 1",Frank Zappa,"May 16, 1988",02:17:23,https://www.allmusic.com/album/you-cant-do-that-on-stage-anymore-vol-1-mw0000194897
382,Rise and Shine,The Bears,"April, 1988",48:39,https://www.allmusic.com/album/rise-and-shine-mw0000199179
383,Negotiations and Love Songs 1971-1986,Paul Simon,"October, 1988",01:03:08,https://www.allmusic.com/album/negotiations-and-love-songs-1971-1986-mw0000197647
384,The Cucumbers,The Cucumbers,1987,31:58,https://www.allmusic.com/album/the-cucumbers-mw0000198325
385,The Compact King Crimson,King Crimson,1987,01:10:10,https://www.allmusic.com/album/the-compact-king-crimson-mw0000190502
386,The Bears,The Bears,1987,33:30,https://www.allmusic.com/album/the-bears-mw0000649879
387,True Colors,Cyndi Lauper,1986,37:57,https://www.allmusic.com/album/true-colors-mw0000190613
388,Lou and the Q,Captain Lou Albano / NRBQ,1986,?,https://www.allmusic.com/album/lou-and-the-q-mw0000313066
389,I Am What I Am,Pia Zadora,1986,06:30,https://www.allmusic.com/album/i-am-what-i-am-mw0000192442
390,Home of the Brave,Laurie Anderson,1986,34:08,https://www.allmusic.com/album/home-of-the-brave-mw0000649832
391,Gravity Is Mutual,Scott Merritt,1986,39:36,https://www.allmusic.com/album/gravity-is-mutual-mw0001892336
392,Graceland,Paul Simon,"August 25, 1986",01:03:19,https://www.allmusic.com/album/graceland-mw0000195707
393,Desire Caught by the Tail,Adrian Belew,1986,32:59,https://www.allmusic.com/album/desire-caught-by-the-tail-mw0000195892
394,Chillin',Force M.D.'s,1986,36:32,https://www.allmusic.com/album/chillin-mw0000650157
395,The Noise: Live at Frejus '82,King Crimson,1985,?,https://www.allmusic.com/album/the-noise-live-at-frejus-82-mw0000031929
396,Electronic Guitar,Adrian Belew,1985,?,https://www.allmusic.com/album/electronic-guitar-mw0001075197
397,Adventure Time,The Elvis Brothers,1985,32:38,https://www.allmusic.com/album/adventure-time-mw0001882657
398,Zoolook,Jean-Michel Jarre,1984,18:47,https://www.allmusic.com/album/zoolook-mw0000194321
399,Three of a Perfect Pair,King Crimson,"July, 1984",40:59,https://www.allmusic.com/album/three-of-a-perfect-pair-mw0000194481
400,Stop Making Sense [Video],Talking Heads,1984,?,https://www.allmusic.com/album/stop-making-sense-video-mw0000881245
401,Stop Making Sense,Talking Heads,"October 23, 1984",44:51,https://www.allmusic.com/album/stop-making-sense-mw0000191998
402,Slide It In,Whitesnake,1984,40:06,https://www.allmusic.com/album/slide-it-in-mw0000192426
403,November's Heat,Certain General,1984,42:58,https://www.allmusic.com/album/novembers-heat-mw0000052048
404,Mister Heartbreak,Laurie Anderson,1984,40:19,https://www.allmusic.com/album/mister-heartbreak-mw0000189067
405,Lights Out,Peter Wolf,1984,41:10,https://www.allmusic.com/album/lights-out-mw0000192485
406,Twang Bar King,Adrian Belew,"September, 1983",42:59,https://www.allmusic.com/album/twang-bar-king-mw0000312825
407,The Key,Joan Armatrading,"March, 1983",38:26,https://www.allmusic.com/album/the-key-mw0000189075
408,The Best of Music & Rhythm,Various,1983,56:22,https://www.allmusic.com/album/the-best-of-music-amp-rhythm-mw0000192486
409,Get Crazy [Video],Various,1983,?,https://www.allmusic.com/album/get-crazy-video-mw0001076615
410,For to Next/And Not Or,Steve Hillage,1983,01:18:39,https://www.allmusic.com/album/for-to-next-and-not-or-mw0000690804
411,Baby Snakes,Frank Zappa,"March, 1983",36:20,https://www.allmusic.com/album/baby-snakes-mw0000197268
